,1,52,825,1027,1839,2010,3408,4172,4687,5426,other_total_market_cap,global
2020-12-14,355209238998.17065,23229915572.975395,19834612788.437298,67031104549.836105,4201864879.57592,4781017433.678272,3241674008.629418,183940785.6690682,690433111.3838401,72430033.2505295,83827427474.09761,562303659635.7041
2020-12-21,433927056339.38354,24960277424.47914,20292809191.16429,72441157127.98206,4859780666.332248,5001337645.380507,3356834844.2431073,186442606.21596456,827965120.863263,71966642.99123198,96330918625.05685,662256546234.0922
2020-12-28,487258425258.87036,12755340515.034035,20728914528.45743,78016259863.50528,4823380198.8058405,4775112589.801246,3582270735.4691963,267309394.603601,813839930.24,60277754.722344205,91104555645.09697,704185686414.6063
2021-01-04,611103883061.6023,10319689764.091797,21340127638.821716,112493433183.74391,6031430219.295733,6461131624.660788,4208356905.508084,320773602.65008336,1157781947.29,104224421.56316598,103049090522.89223,876589922892.1198
2021-01-11,708195321595.2714,14313261757.207052,24227737234.75798,142632073656.41907,6081495234.341637,9357848195.203115,4716577027.782293,407634007.52399176,1160873594.95,900167052.6969572,135712862557.28531,1047705851913.4388
2021-01-18,667028668819.6982,12616412931.278044,24335127608.65566,141283103997.06857,6559448777.440886,12018477233.558279,5062879694.866294,390602788.1881602,1166183698.91547,1005044435.0863482,135585928941.4148,1007051878926.1707
2021-01-25,601651669364.067,12458926071.177841,24855382012.49146,159139478907.86105,6492396896.123756,11051768379.337437,5521619596.81792,440323226.5464331,1224030835.72,954751005.6664197,140099246848.4673,963889593144.2766
2021-02-01,613312434887.7683,21925987498.30327,26451673572.85218,149156035509.13123,6826565468.42992,10666851471.49126,5868887012.246311,702969821.4943104,1478706910.7454839,1107057235.039922,152778717719.22842,990275887106.7306
2021-02-08,722518516768.899,18889797551.887596,28640744464.52725,183497935264.13718,10561874055.806725,20409087357.38615,6439354021.247119,1492137327.5221698,1551577437.249502,1743443948.1071186,188825277615.0242,1184569745811.794
2021-02-15,907623519352.765,26991144347.136276,32030496523.170204,206928063467.8585,21164462421.54985,26707267109.051334,7285531424.541788,2552826097.2241898,1762860122.227413,2284407541.355988,254202713274.11505,1489533291680.9956
2021-02-22,1072121083578.4685,24868365305.971134,34269167488.10008,221808321712.45514,45337991591.21771,34171143759.85769,7738070248.02095,2641658757.804918,2185365101.1331024,2912736129.046873,296057817268.543,1744111720940.6191
2021-03-01,843800279724.5995,18858131201.044754,35051766100.49212,163489570914.62054,32657604002.229668,40941207989.82867,8897561159.08392,2192620562.2897816,2376133876.388646,3444422354.818516,228979733809.7433,1380689031695.1394
2021-03-08,955342689135.7744,21283092862.47225,36469943939.95809,199972340507.07013,37286770851.648026,36424358570.53192,8969243054.457504,3354192105.3810673,3133591756.092825,3631202771.7979016,279329147136.4969,1585196572691.681
2021-03-15,1100069293585.0618,19881457099.228863,38233600023.01573,212242684426.74722,40524707502.20785,33501824104.45829,9276391646.0385,6382365765.239228,3165869941.681534,3872368682.0620418,322641893723.39813,1789792456499.1392
2021-03-22,1071526929279.6742,23521223549.4537,39565060882.35337,205702383097.86816,40852060948.686615,37889740230.51636,9917841160.002542,8891227786.656187,3229639640.50458,3845516025.6892533,336705704928.33575,1781647327529.7407
2021-03-29,1044604471378.814,24932496610.28367,40499745530.79511,194895798810.5891,41417718682.62811,38061575991.15214,10768831917.074358,7323517243.142361,3486951500.5680904,4863846959.591937,347255764105.8441,1758110718730.483
2021-04-05,1098874556066.7537,29177002099.372326,42499295270.09647,241846812911.60452,54301550819.7262,38129607679.899605,10885288493.555725,7111598622.457889,4037106298.955719,6415795312.607819,415723964983.625,1949002578558.655
2021-04-12,1128437856221.562,61833219565.49848,44508879715.78069,249637481539.29276,81371508485.55698,40576259288.48624,11060344545.7572,5797815939.533031,5032128724.263642,7567808861.553932,436838572039.38983,2072661874926.6748
2021-04-19,1046814448218.0908,64220359791.309166,48073162253.77271,257526324621.16852,73480277200.72606,40931017416.055954,11306193465.539274,5062143061.149546,5402503151.011851,8707707854.728106,487980205771.39874,2049504342804.9507
2021-04-26,915066200404.24,46172295778.264565,49959798574.50384,267279574507.50558,77262385453.65387,34633356339.25571,11245351070.314754,6660437615.120681,6977354979.405065,12744053055.22865,396756816870.1563,1824757624647.649
2021-05-03,1058309059403.1953,70602489722.25822,51784088801.18657,341740827525.0736,95422971736.19917,42252514523.18406,14382656454.260595,6706478423.869202,6976837674.590323,12740444945.78311,512848599864.90137,2213766969074.5015
