기준분기,연령대,성별구분,소득추정등급,"신용관리대상등록총금액<미적용, 금액, 십만원>","신용관리대상등록총금액<미적용, 등록자수, 명>"
2010Q3,60대,여자,10,139922,124
2010Q3,60대,여자,11,38624,134
2010Q3,60대,여자,12,93514,327
2010Q3,60대,여자,13,114369,369
2010Q3,60대,여자,14,26077,133
2010Q3,60대,여자,15,445,4
2010Q3,70세 이상,남자,00,20297,66
2010Q3,70세 이상,남자,01,0,0
2010Q3,70세 이상,남자,02,0,0
2010Q3,70세 이상,남자,03,0,0
2010Q3,70세 이상,남자,04,0,0
2010Q3,70세 이상,남자,06,0,0
2010Q3,70세 이상,남자,07,0,0
2010Q3,70세 이상,남자,08,0,0
2010Q3,70세 이상,남자,09,0,0
2010Q3,70세 이상,남자,10,0,0
2010Q3,70세 이상,남자,11,0,0
2010Q3,70세 이상,남자,12,0,0
2010Q3,70세 이상,남자,13,456448,439
2010Q3,70세 이상,남자,14,59946,60
2010Q3,70세 이상,남자,15,0,0
2010Q3,70세 이상,여자,00,9137,71
2010Q3,70세 이상,여자,01,0,0
2010Q3,70세 이상,여자,02,0,0
2010Q3,70세 이상,여자,03,0,0
2010Q3,70세 이상,여자,04,0,0
2010Q3,70세 이상,여자,05,0,0
2010Q3,70세 이상,여자,06,0,0
2010Q3,70세 이상,여자,07,0,0
2010Q3,70세 이상,여자,08,0,0
2010Q3,70세 이상,여자,09,0,0
2010Q3,70세 이상,여자,10,0,0
2010Q3,70세 이상,여자,11,0,0
2010Q3,70세 이상,여자,12,0,0
2010Q3,70세 이상,여자,13,120304,76
2010Q3,70세 이상,여자,14,134344,355
2010Q3,70세 이상,여자,15,146292,205
2010Q4,20대,남자,00,7920,118
2010Q4,20대,남자,01,1878,7
2010Q4,20대,남자,02,1179,3
2010Q4,20대,남자,03,283,5
2010Q4,20대,남자,04,770,3
2010Q4,20대,남자,05,2858,7
2010Q4,20대,남자,06,2658,4
2010Q4,20대,남자,07,1206,8
2010Q4,20대,남자,08,3380,17
2010Q4,20대,남자,09,8284,28
2010Q4,20대,남자,10,62873,58
2010Q4,20대,남자,11,41425,248
2010Q4,20대,남자,12,67215,601
2010Q4,20대,남자,13,29550,893
2010Q4,20대,남자,14,8597,114
2010Q4,20대,남자,15,2445,48
2010Q4,20대,여자,00,14536,155
2010Q4,20대,여자,01,68,2
2010Q4,20대,여자,02,44,1
2010Q4,20대,여자,03,180,4
2010Q4,20대,여자,04,0,0
2010Q4,20대,여자,05,57,1
2010Q4,20대,여자,06,208,2
2010Q4,20대,여자,07,630,8
2010Q4,20대,여자,08,687,6
2010Q4,20대,여자,09,4366,15
2010Q4,20대,여자,10,4537,20
2010Q4,20대,여자,11,2526,26
2010Q4,20대,여자,12,2125,20
2010Q4,20대,여자,13,13695,52
2010Q4,20대,여자,14,80412,820
2010Q4,20대,여자,15,35562,719
2010Q4,30대,남자,00,252133,1327
2010Q4,30대,남자,01,21373,33
2010Q4,30대,남자,02,7558,16
2010Q4,30대,남자,03,43573,36
2010Q4,30대,남자,04,13486,13
2010Q4,30대,남자,05,66835,50
2010Q4,30대,남자,06,35081,64
2010Q4,30대,남자,07,167575,102
2010Q4,30대,남자,08,356458,474
2010Q4,30대,남자,09,303881,987
2010Q4,30대,남자,10,375143,1153
2010Q4,30대,남자,11,225767,940
2010Q4,30대,남자,12,108837,902
2010Q4,30대,남자,13,28437,245
2010Q4,30대,남자,14,10184,99
2010Q4,30대,남자,15,6502,18
2010Q4,30대,여자,00,157662,944
2010Q4,30대,여자,01,7376,13
2010Q4,30대,여자,02,5255,7
2010Q4,30대,여자,03,8052,18
2010Q4,30대,여자,04,3652,7
2010Q4,30대,여자,05,9446,28
2010Q4,30대,여자,06,21950,23
2010Q4,30대,여자,07,27548,31
2010Q4,30대,여자,08,75034,50
2010Q4,30대,여자,09,99142,189
2010Q4,30대,여자,10,117605,226
2010Q4,30대,여자,11,104413,441
2010Q4,30대,여자,12,109068,479
2010Q4,30대,여자,13,107430,599
2010Q4,30대,여자,14,108881,944
2010Q4,30대,여자,15,11359,100
2010Q4,40대,남자,00,993689,1846
2010Q4,40대,남자,01,337120,87
2010Q4,40대,남자,02,146457,42
2010Q4,40대,남자,03,410626,119
2010Q4,40대,남자,04,140324,58
2010Q4,40대,남자,05,234916,132
2010Q4,40대,남자,06,582401,368
2010Q4,40대,남자,07,3245786,1085
2010Q4,40대,남자,08,1330253,2222
2010Q4,40대,남자,09,722991,1982
2010Q4,40대,남자,10,717275,1115
2010Q4,40대,남자,11,100641,690
2010Q4,40대,남자,12,3253,33
2010Q4,40대,남자,13,6354,31
2010Q4,40대,남자,14,16358,41
2010Q4,40대,남자,15,18581,26
2010Q4,40대,여자,00,260805,1184
2010Q4,40대,여자,01,53168,41
2010Q4,40대,여자,02,16428,20
2010Q4,40대,여자,03,98049,23
2010Q4,40대,여자,04,12764,18
2010Q4,40대,여자,05,54380,47
2010Q4,40대,여자,06,103027,56
2010Q4,40대,여자,07,86907,102
2010Q4,40대,여자,08,278213,314
2010Q4,40대,여자,09,456141,947
2010Q4,40대,여자,10,887908,1507
2010Q4,40대,여자,11,256011,799
2010Q4,40대,여자,12,124365,698
2010Q4,40대,여자,13,19058,105
2010Q4,40대,여자,14,10402,51
2010Q4,40대,여자,15,17202,41
2010Q4,50대,남자,00,1886949,1039
2010Q4,50대,남자,01,441416,48
2010Q4,50대,남자,02,51888,32
2010Q4,50대,남자,03,222352,59
2010Q4,50대,남자,04,223460,63
2010Q4,50대,남자,05,256604,140
2010Q4,50대,남자,06,525143,375
2010Q4,50대,남자,07,1179294,780
2010Q4,50대,남자,08,2586101,1582
2010Q4,50대,남자,09,835655,1127
2010Q4,50대,남자,10,2205506,858
2010Q4,50대,남자,11,121882,379
2010Q4,50대,남자,12,1171,6
2010Q4,50대,남자,13,28175,18
2010Q4,50대,남자,14,6576,24
2010Q4,50대,남자,15,11320,17
2010Q4,50대,여자,00,319060,816
2010Q4,50대,여자,01,38506,18
2010Q4,50대,여자,02,15922,9
2010Q4,50대,여자,03,58943,35
2010Q4,50대,여자,04,16205,17
2010Q4,50대,여자,05,27621,31
2010Q4,50대,여자,06,89953,32
2010Q4,50대,여자,07,103459,77
2010Q4,50대,여자,08,230491,306
2010Q4,50대,여자,09,683726,748
2010Q4,50대,여자,10,428203,1159
2010Q4,50대,여자,11,192100,423
2010Q4,50대,여자,12,112871,444
2010Q4,50대,여자,13,19894,29
2010Q4,50대,여자,14,2771,20
2010Q4,50대,여자,15,5883,16
2010Q4,60대,남자,00,111379,266
2010Q4,60대,남자,01,31772,6
2010Q4,60대,남자,02,116,1
